tic_id,toi_id,Disposition,RA,Dec,Tmag,Tmag Err,Epoc,Epoc Err,Period,Period Err,Duration,Duration Err
425997655,174.01,PC,55.459877,-62.767049,8.69687,0.018031,1342.994583,0.001819,17.668189,0.001413,2.745577,0.298883
425997655,174.02,PC,55.459877,-62.767049,8.69687,0.018031,1340.303729,0.002602,29.797713,0.001995,2.956428,0.37789
425997655,174.03,PC,55.459877,-62.767049,8.69687,0.018031,1335.733561,0.009855,12.166894,0.004979,3.762924,0.660261
425997655,174.04,PC,55.459877,-62.767049,8.69687,0.018031,1326.029824,0.003407,3.976337,0.000299,1.591158,0.203994
307210830,175.01,PC,124.5319,-68.313,9.393,0.009,1356.203764,0.000855,3.690613,0.00023,1.267582,0.215477
307210830,175.02,PC,124.5319,-68.313,9.393,0.009,1355.2864,0.001047,7.451113,0.000568,0.835565,0.141109
307210830,175.03,PC,124.5319,-68.313,9.393,0.009,1354.906208,0.001878,2.253014,0.000285,1.018501,0.392408
272086159,176.01,PC,115.0034,-72.2077,13.404,0.04,1363.04625,0.00081,16.15427,0.00013,1.608,0.132
262530407,177.01,PC,20.4391,-46.7144,9.438,0.016,1356.153,0.000649,2.853133,6.60E-05,1.264674,0.13067
251848941,178.01,PC,7.30125,-30.453734,10.351,0.017,1360.242325,0.00238,6.558054,0.00129,2.233632,0.32997
251848941,178.02,PC,7.30125,-30.453734,10.351,0.017,1354.55219,0.004083,10.354252,0.003165,2.236524,0.274134
251848941,178.03,PC,7.30125,-30.453734,10.351,0.017,1362.953314,0.003512,9.955936,0.005123,2.521805,0.662672
207141131,179.01,PC,44.262259,-56.192071,8.141,0.017,1354.588395,0.000649,4.137394,9.60E-05,1.829919,0.136448
51912829,180.01,PC,14.2984,-67.496272,9.481,0.02,1325.897913,0.000328,0.835398,9.00E-06,1.480314,0.020716
76923707,181.01,PC,352.171955,-34.491371,10.411,0.019,1358.118127,0.000495,4.532037,0.000161,2.373894,0.052422
76989773,182.01,PC,353.294594,-35.463618,9.623,0.019,1355.082723,0.000254,1.769141,3.10E-05,1.958463,0.019511
183979262,183.01,PC,21.649233,-72.749038,8.273,0.019,1326.104287,0.000147,3.430776,1.50E-05,3.130096,0.008128
300871545,184.01,PC,117.65759,-70.533607,10.025,0.018,1327.376627,0.000164,4.817028,2.60E-05,3.194467,0.008697
